Week_or_not,Tranche_horaire,Heure,Comptage_horaire
Semaine,1-Créneau 6h - 10h,6,15.030534100246507
Semaine,1-Créneau 6h - 10h,7,58.44694280078895
Semaine,1-Créneau 6h - 10h,8,183.3938696309939
Semaine,1-Créneau 6h - 10h,9,167.7187479450253
Semaine,1-Créneau 6h - 10h,10,72.01558031752293
Semaine,2-Créneau 11h - 15h,11,62.70061454533504
Semaine,2-Créneau 11h - 15h,12,82.34374280924361
Semaine,2-Créneau 11h - 15h,13,80.99493853940709
Semaine,2-Créneau 11h - 15h,14,75.57385131137842
Semaine,2-Créneau 11h - 15h,15,73.673315151316
Semaine,3-Créneau 16h - 20h,16,87.79133664179841
Semaine,3-Créneau 16h - 20h,17,131.55790166091103
Semaine,3-Créneau 16h - 20h,18,191.6593084843899
Semaine,3-Créneau 16h - 20h,19,176.34612728169708
Semaine,3-Créneau 16h - 20h,20,101.56257805823967
Semaine,4-Créneau 21h - 23h,21,58.202431810713115
Semaine,4-Créneau 21h - 23h,22,46.4970598863375
Semaine,4-Créneau 21h - 23h,23,40.12879484820607
Semaine,5-Créneau minuit - 5h (nuit),0,20.56155337254
Semaine,5-Créneau minuit - 5h (nuit),1,10.008049149089953
Semaine,5-Créneau minuit - 5h (nuit),2,5.758098429594586
Semaine,5-Créneau minuit - 5h (nuit),3,3.2778854683444494
Semaine,5-Créneau minuit - 5h (nuit),4,2.865082495234339
Semaine,5-Créneau minuit - 5h (nuit),5,5.649597370583402
Weekend,1-Créneau 6h - 10h,6,7.166056761811824
Weekend,1-Créneau 6h - 10h,7,11.776937464422216
Weekend,1-Créneau 6h - 10h,8,24.458035133376708
Weekend,1-Créneau 6h - 10h,9,40.028148389196225
Weekend,1-Créneau 6h - 10h,10,55.582607988286014
Weekend,2-Créneau 11h - 15h,11,69.0940831773419
Weekend,2-Créneau 11h - 15h,12,82.80515992512412
Weekend,2-Créneau 11h - 15h,13,77.97159137159137
Weekend,2-Créneau 11h - 15h,14,81.0802735488073
Weekend,2-Créneau 11h - 15h,15,94.11342724533833
Weekend,3-Créneau 16h - 20h,16,98.36767100977198
Weekend,3-Créneau 16h - 20h,17,98.1273511928996
Weekend,3-Créneau 16h - 20h,18,94.25784114052954
Weekend,3-Créneau 16h - 20h,19,82.82704991450207
Weekend,3-Créneau 16h - 20h,20,60.4000651306684
Weekend,4-Créneau 21h - 23h,21,42.157860457542945
Weekend,4-Créneau 21h - 23h,22,32.33677870920485
Weekend,4-Créneau 21h - 23h,23,26.98901277773256
Weekend,5-Créneau minuit - 5h (nuit),0,30.164934221211627
Weekend,5-Créneau minuit - 5h (nuit),1,21.663499796995534
Weekend,5-Créneau minuit - 5h (nuit),2,18.761172041250614
Weekend,5-Créneau minuit - 5h (nuit),3,11.151315789473685
Weekend,5-Créneau minuit - 5h (nuit),4,7.933983739837398
Weekend,5-Créneau minuit - 5h (nuit),5,6.641375945352525
