Evolution,annee_mois
29.535239586812565,1-2022
29.114970001944084,4-2022
44.174021702201394,5-2022
20.078450743665883,6-2022
25.922168226742702,7-2022
19.81210561973691,8-2022
3.2631750146382728,9-2022
14.428149252369895,10-2022
23.14858852407459,11-2022
2.607029055653979,12-2022
22.819321425850315,1-2023
-4.683885319136045,2-2023
-13.989859409142843,3-2023
-14.208371282211363,4-2023
-21.68439404992232,5-2023
-10.307594245317604,6-2023
-32.03453426084265,7-2023
-40.44037176547143,8-2023
-32.61752646602777,9-2023
-36.947336879177335,10-2023
-43.18966431222226,11-2023
-28.373168543246823,12-2023
