Id_Compteur,Address
100042374-110042374,Voie Georges Pompidou NE-SO
100044493-101044493,67 boulevard Voltaire SE-NO
100044494-101044494,10 avenue de la Grande Armée SE-NO
100044495-101044495,7 avenue de la Grande Armée NO-SE
100044506-101044506,72 boulevard Voltaire NO-SE
100047533-101047533,89 boulevard de Magenta NO-SE
100047534-101047534,16 avenue de la Porte des Ternes E-O
100047535-101047535,Pont du Garigliano NO-SE
100047536-101047536,102 boulevard de Magenta SE-NO
100047537-101047537,26 boulevard de Ménilmontant SE-NO
100047538-101047538,Face au 16 avenue de la  Porte des Ternes O-E
100047539-101047539,21 boulevard Auguste Blanqui SO-NE
100047540-101047540,72 boulevard Richard Lenoir S-N
100047541-353326452,Pont National SO-NE
100047542-103047542,Face au 48 quai de la marne NE-SO
100047544-101047544,77 boulevard Richard Lenoir N-S
100047545-103047545,Face 104 rue d'Aubervilliers N-S
100047546-104047546,Face au 70 quai de Bercy N-S
100047547-104047547,6 rue Julia Bartet NE-SO
100047548-103047548,Face au 25 quai de l'Oise NE-SO
100047549-101047549,Pont National NE-SO
100065336-104065336,35 boulevard de Ménilmontant NO-SE
100047551-102047551,Pont du Garigliano SE-NO
100049407-353255860,152 boulevard du Montparnasse E-O
100049408-101049408,10 boulevard Auguste Blanqui NE-SO
100050132-101050132,243 boulevard Saint Germain NO-SE
100050876-103050876,Totem 64 Rue de Rivoli Totem 64 Rue de Rivoli Vélos E-O
100056032-101056032,87 avenue de Flandre NE-SO
100056034-101056034,72 avenue de Flandre SO-NE
100056036-101056036,2 avenue de la Porte de Bagnolet O-E
100056038-101056038,44 avenue des Champs Elysées SE-NO
100056039-101056039,180 avenue d'Italie N-S
100056040-101056040,129 rue Lecourbe SO-NE
100056041-101056041,147 avenue d'Italie S-N
100056042-101056042,33 avenue des Champs Elysées NO-SE
100056044-101056044,132 rue Lecourbe NE-SO
100056045-101056045,Pont de la Concorde N-S
100056046-101056046,Pont des Invalides S-N
100056047-101056047,Pont de la Concorde S-N
100056223-101056223,Pont des Invalides N-S
100056225-101056225,3 avenue de la Porte D'Orléans (gare routière) S-N
100056226-104056226,Face au 8 avenue de la porte de Charenton NO-SE
100056327-103056327,Face au 4 avenue de la porte de Bagnolet E-O
100056329-104056329,Pont Charles De Gaulle NE-SO
100056330-104056330,36 quai de Grenelle NE-SO
100056331-104056331,Face au 40 quai D'Issy NE-SO
100056332-103056332,Pont de Bercy NE-SO
100056334-103056334,38 rue Turbigo NE-SO
100056335-104056335,Quai d'Orsay E-O
100056336-106056336,27 quai de la Tournelle NO-SE
100057329-104057329,Totem 85 quai d'Austerlitz NO-SE
100057380-104057380,Totem Cours la Reine E-O
100057445-103057445,Totem 73 boulevard de Sébastopol N-S
100060174-101060174,21 boulevard Saint Michel S-N
100060175-101060175,30 rue Saint Jacques (temporaire) N-S
100060178-102060178,90 Rue De Sèvres NE-SO
100063175-353277233,20 Avenue de Clichy NO-SE
100063175-353277235,20 Avenue de Clichy SE-NO
100063174-101063174,69 Boulevard Ornano (temporaire) N-S
100063173-101063173,74 Boulevard Ornano S-N
300014702-353245972,254 rue de Vaugirard NE-SO
300014702-353245971,254 rue de Vaugirard SO-NE
100056035-353266462,Quai des Tuileries NO-SE
100056035-353266460,Quai des Tuileries SE-NO
300021312-353293580,30 rue Saint Jacques N-S
300021320-353293614,69 Boulevard Ornano N-S
300030120-353354985,9 boulevard Jourdan O-E
300030116-353354957,24 boulevard Jourdan E-O
300030163-353355237,27 boulevard Davout N-S
300030172-353355278,42 boulevard Soult N-S
300030172-353355277,42 boulevard Soult S-N
300030279-353356112,51 boulevard du Général Martial Valin SE-NO
300030139-353355137,56 boulevard Kellermann E-O
300030121-353354988,72 boulevard Brune NO-SE
300030173-353355292,77 boulevard Masséna NE-SO
300030173-353355291,77 boulevard Masséna SO-NE
300030219-353355786,81 boulevard Mortier N-S
300030219-353355787,81 boulevard Mortier S-N
300030250-353355932,98 boulevard Poniatowski NE-SO
300030250-353355931,98 boulevard Poniatowski SO-NE
300030160-353355230,163 boulevard Brune SE-NO
300030271-353356061,Face au 49 boulevard du Général Martial Valin NO-SE
