Tranche_horaire,Heure,Comptage_horaire
1-Créneau 6h - 10h,6,6.788961038961039
1-Créneau 6h - 10h,7,12.837662337662337
1-Créneau 6h - 10h,8,30.506493506493506
1-Créneau 6h - 10h,9,47.51623376623377
1-Créneau 6h - 10h,10,53.47402597402598
2-Créneau 11h - 15h,11,63.77272727272727
2-Créneau 11h - 15h,12,74.95454545454545
2-Créneau 11h - 15h,13,68.97402597402598
2-Créneau 11h - 15h,14,72.91558441558442
2-Créneau 11h - 15h,15,81.65584415584415
3-Créneau 16h - 20h,16,84.4512987012987
3-Créneau 16h - 20h,17,88.0551948051948
3-Créneau 16h - 20h,18,95.47727272727273
3-Créneau 16h - 20h,19,81.17532467532467
3-Créneau 16h - 20h,20,58.94805194805195
4-Créneau 21h - 23h,21,40.5
4-Créneau 21h - 23h,22,29.106796116504853
4-Créneau 21h - 23h,23,22.064935064935064
5-Créneau minuit - 5h (nuit),0,21.792207792207794
5-Créneau minuit - 5h (nuit),1,13.948051948051948
5-Créneau minuit - 5h (nuit),2,10.318181818181818
5-Créneau minuit - 5h (nuit),3,6.035714285714286
5-Créneau minuit - 5h (nuit),4,4.503246753246753
5-Créneau minuit - 5h (nuit),5,4.909090909090909
